,accuracy,precision,recall,f1,roc_auc
RandomForest,0.9704347826086956,0.9688995215311005,0.8804347826086957,0.9225512528473804,0.9968165170132326
GaussianNB,0.9560869565217391,0.8876889848812095,0.8934782608695652,0.8905742145178764,0.9838273865784499
KNeighbors,0.9326086956521739,0.9935275080906149,0.6673913043478261,0.7984395318595578,0.921711365784499
ANN,0.861304347826087,0.8051948051948052,0.4043478260869565,0.5383502170767004,0.5583152173913044
LinearSVM,0.8334782608695652,0.7769784172661871,0.23478260869565218,0.3606010016694491,0.5111424858223063
LogisticRegression,0.7043478260869566,0.3116438356164384,0.39565217391304347,0.3486590038314176,0.49865548204158794
